"id","single_category","title"
"1","1","Blackwood Mala | Karungali Mala (108 Beads, 8mm)"
"2","1","Blackwood Mala | Karungali Mala (108 Beads, 10 mm)"
"3","2","Vetiver Vinayagar (14 * 9 inches)"
"4","3","Karpaga Vinayagar Laminated Photo Frame | Vinayagar Photo (13.7*10.5 Inch)"
"5","4","Mahalakshmi Gomti Chakra Kit (Gomti Chakra+Sriphal+ Lakshmi Gavvalu+Copper Plate+Valampuri Sangu+Lakshmi Coin)	"
"6","5","Lotus Mala | Thamarai Mani Malai (108 Beads)"
"7","5","Navaratna Gemstone Mala | Navarathna Malai (108 Beads)"
"8","6"," Pyrite Stone Bracelet  |  Pyrite Stone Band"
"9","1","Blackwood Bracelet | Karungali Bracelet (27 Beads)"
"10","1","Blackwood Stick | Karungali Stick (12 Inch)"
"11","1","Blackwood Stick | Karungali Stick (3 to 4 Inch)"
"12","8","Vastu Horse"
"13","7","Rudraksha Mala  (108 beads, 6 mm)"
"14","9","Shri Kuber Yantra Laminated Photo Frame (11*11 inch)"
"15","4","Ekakshi Nariyal | One Eye Coconut"
"16","9","Shri Sampoorna Vyapar Vridhi Yantra Laminated Photo Frame (7*7 inch)"
"17","10","Brass Kubera Statue | Kuberar Idol"
"18","1","Blackwood Bead Locket with Metal Cap | Karungali Beads Pendant (20 mm)"
"19","11","Vetiver Mala | Vetiver Garland (2 Ft)"
"20","2","Vellerukku Vinayagar with Arch (Large) (6 * 5 inches)"
"21","5","Sphatik Mala | Crystal Mala (108 Beads)"
"22","4","Darbha Mat | Color Darbha Grass Yoga Mat (21*14.5 Inch)"
"23","12","Blackwood Mala with Silver Cap | Karungali Mala (54+1 Beads, 10 mm)"
"24","9","Shri Ashta Lakshmi Yantra | Ashta Lakshmi Shree Yantra Laminated Photo Frame (7*7 inch)"
"25","1","Blackwood Locket | Karungali Thayathu (2 inch)"
"26","6","Rudra Shakti Bracelet | Rudraksha Bracelet"
"27","2","Kubera Vinayagar Statue | Ganapathi Idol"
"28","1","Blackwood Mala with Copper String | Karungali Mala (54 Beads, 10mm)"
"29","1","Blackwood Mala with Copper String | Karungali Mala (54 Beads, 8mm)"
"30","8","Vastu Sun Mask - Copper Coating"
"31","9","Shri Sampoorna Vyapar Vridhi Yantra Laminated Photo Frame (11*11 inch)"
"32","9","Shri Sarv Kasht Nivaran Yantra Raj Laminated Photo Frame (7*7 inch)"
"33","9","Shri Sarv Kasht Nivaran Yantra Raj Laminated Photo Frame (11*11 inch)"
"34","6","Red Chandan Bracelet | Red Sandalwood Bracelet (25 Beads)"
"35","8","Vastu Fish"
"36","1","Blackwood Trishul | Karungali Trishul (6 inch)"
"37","2","Vellerukku Vinayagar Statue with Arch (5 * 3 inch )"
"38","13","Gomti Chakra Locket with Rope | Gomti Chakra Pendant"
"39","13","Annapoorani Statue With Copper Coated Plate"
"40","13","Sphatik Shivling Locket | Crystal Shivling Locket"
"41","14","Murugar Statue with Peacock | Murugan Silai"
"42","14","Murugar Statue | Murugan Silai"
"43","15","Idampiri Shankh | Edampuri Sangu | Conch"
"44","15","Idampiri Shankh | Edampuri Sangu | Conch (ISM001)"
"45","2","Vellerukku Vinayagar Statue (3*2 inch)"
"46","2","Vetiver Vinayagar (9.5 * 7 inch)"
"47","15","Idampiri Shankh | Edampuri Sangu | Conch Shell (ISS001)"
"48","15","Valampuri Shankh | Valampuri Sangu with Brass Stand"
"49","15","Gopuram Shankh | Gopuram Sangu with Copper Plate (1.5 inch)"
"50","12","Sphatik  Mala Silver String - (54+1 Beads)"
"51","5","Chandan Mala with Copper String (54 Beads, 8mm)"
"52","7","Ruthra Sakthi Vilva Mala"
"53","8","Vastu Fish Standing Statue"
"54","8","Vastu Tortoise with Copper Coated Plate | Vastu Turtle"
"55","10","Brass Shivling with 5 Head Sheshnag | Brass Shiva Linga with 5-Headed Snake "
"56","10","Brass Venkatachalapathy Statue | Brass Venkateswara Statue (10*4.5 cm)"
"57","16","Brass Deepalakshmi Lamp | Brass Paavai Vilakku"
"58","10","Brass Buddha Statue |  Buddha Idol"
"59","10","Brass Venkatachalapathy Statue | Brass Venkateswara Statue (5.5*2.5 cm)"
"60","10","Brass Vinayagar Statue | Brass Ganesh Idol (5.5*4 inch)"
"61","10","Brass Sai Baba Statue | Brass Shirdi Sai Baba Idol"
"62","10","Brass Horse Statue | Brass Horse Sculpture"
"63","10","Brass Stand for Idols | Idol Stand | Brass Chowki for Idols"
"64","10","Brass Murugan Statue | Subramanya Brass Statue (6*2.5 inch)"
"65","10","Brass Lakshmi Statue | Lakshmi Statue Brass with Antique Finish"
"66","10","Brass Lord Krishna with Kamdhenu Cow Statue | Krishna with Cow Statue"
"67","16","Brass Ashtalakshmi kubera Lamp | Lakshmi Kubera Vilakku"
"68","10","Brass Shivling with 5 Head Sheshnag | Brass Shiva Linga with 5-Headed Snake (3.5*2.5 inch)"
"69","10","Brass Murugan Statue | Subramanya Brass Statue (9*3.5 inch)"
"70","10","Brass Radha Krishna Statue | Brass Krishna Radha statue"
"71","10","Brass Ram Darbar Statue | Ram Darbar Brass Idol"
"72","10","Brass Annapurna Statue | Brass Annapurna Devi Idol"
"73","16","Brass Pradosha Vilakku | Brass Shivling Diya | Brass Shiva Linga Oil Lamp"
"74","10","Brass Kuberar Sitting Statue | Kuber Statue"
"75","10","Brass Nandi Statue | Nandi Idol (2.5*3 inch)"
"76","10","Brass Vinayagar Statue | Brass Ganesh Idol (3.5*2 inch)"
"77","10","Brass Vinayagar Statue | Brass Ganesh Idol "
"78","10","Brass Kamdhenu Cow with Kalpavriksha Tree Idol | Kamadhenu with Kalpavriksha Tree Idol"
"79","10","Brass Kamdhenu Statue | Brass Cow with Calf Idol"
"80","10","Lakshmi Kubera Chithralekha Statue | Brass Lakshmi and Kuber Statue"
"81","10","Brass Ganesha Reading Book on Chair Statue | Ganesh Sitting on Rocking Chair Statue"
"82","10","Brass Nandi Statue | Nandi Idol "
"83","16","Brass Diya for Puja | Puja Diya in Brass"
"84","10","Brass Diya with Swan | Brass Swan Shaped Diya"
"85","13","Mercury Lakshmi Idol | Mercury Parad Goddess Lakshmi Idol"
"86","13","Copper Water Bottle | Copper Bottle"
"87","13","Copper Glass ( 2 Pieces )"
"88","13","Panchaloha Trishul Locket | Panchaloha Trishul Pendant"
"89","13","Panchaloha Swastik Locket | Swastik Pendant"
"90","13","Panchaloha Om Murugan Pendant | Om Murugan Locket"
"91","13","Panchaloha Shivling Locket | Panchaloha Shiva Lingam Pendant"
"92","13","Shree Yantra Locket | Sri Chakra Pendant (Gold Color)"
"93","13","Swastik Locket | Swastik Pendant"
"94","13","Panchaloha Om Locket | Om Pendant"
"95","13","Mercury Bead Pendant | Mercury Pendant | Rasamani Dollar"
"96","13","Gokulashtami Decorative Items | Janmashtami Decorative Items | Krishna Decoration"
"97","11","Vetiver Mala | Vetiver Garland (1 Ft)"
"98","10","Perumal Namam Statue | Shanku Chakra Namam"
"99","16","Brass Leaf Diya with Turtle Base | Leaf Design Brass Lamp Over Tortoise Base (2 Pcs)"
