user_id,pro_id
7,4
8,4
7,4
12,4
14,5
17,5
22,5
29,5
34,6
59,6
57,6
50,6
7,5
148,4
12,4
48,5
179,4
179,5
57,6
3,4
3,5
3,6
55,6
6,5
6,5
6,6
6,5
6,7
17,5
66,5
66,6
66,7
68,6
67,4
67,5
67,6
67,7
67,4
1,5
1,6
1,5
1,6
28,5
31,5
67,5
67,6
67,7
66,4
66,5
66,6
66,7
66,6
8,5
8,5
8,5
8,6
70,5
66,6
71,6
72,5
73,6
75,6
77,5
78,27
90,18
99,18
107,40
108,12
88,18
111,25
110,40
97,9
66,9
113,22
115,9
117,12
120,16
116,38
121,18
129,9
133,9
150,12
152,12
151,12
154,12
158,12
155,12
155,12
161,12
154,12
165,12
166,9
166,12
166,12
166,12
174,12
7,12
177,12
181,5
181,12
184,12
190,12
193,12
187,12
187,12
187,12
202,12
208,12
213,12
215,12
214,12
220,12
221,12
225,12
218,12
230,31
234,12
235,12
235,12
239,12
240,38
123,9
156,12
173,12
168,12
243,39
201,12
244,12
209,12
226,12
232,12
231,12
247,12
248,27
251,12
251,12
254,12
252,34
256,12
255,12
257,27
258,38
261,6
150,12
180,12
183,12
212,12
266,22
256,12
267,25
255,12
269,12
270,38
272,9
272,10
272,11
273,35
235,12
274,26
59,32
276,40
2,5
2,6
2,9
275,9
68,6
161,12
286,12
285,29
297,12
205,12
308,9
303,12
22,12
316,12
152,12
317,12
305,12
155,12
155,12
77,1
77,2
77,9
77,34
336,12
338,6
336,12
336,12
265,18
265,18
346,35
351,17
358,11
356,9
356,26
356,34
356,37
361,17
367,22
360,18
373,12
197,12
379,38
283,9
313,12
315,12
385,38
77,34
383,9
205,12
333,12
386,32
392,9
335,12
399,11
398,9
399,11
410,9
413,9
426,9
431,9
434,38
434,38
440,9
443,18
264,11
264,14
463,38
465,6
466,22
468,22
325,12
77,7
478,12
0,1
0,5
0,6
479,9
279,52
279,1
1,6
1,15
1,18
257,27
257,35
257,53
483,37
485,26
487,26
487,19
487,2
487,3
488,31
489,29
1,5
1,7
1,14
1,25
492,39
1,5
1,7
1,14
1,25
341,12
327,12
155,12
496,12
498,25
497,22
499,9
112,9
404,9
374,9
501,31
393,18
511,39
502,9
436,18
495,26
513,22
77,34
12,9
512,2
512,9
512,9
512,5
493,54
493,35
493,12
264,1
264,2
77,9
77,34
517,12
264,1
182,12
77,9
77,26
77,34
264,1
264,9
264,14
264,14
77,34
77,9
77,26
77,34
264,14
401,9
77,9
77,26
77,34
104,9
519,37
520,12
12,9
77,9
77,26
77,34
350,1
264,5
264,7
455,25
525,18
526,5
65,6
527,32
518,9
12,9
65,6
343,12
65,6
518,9
518,53
65,11
526,14
1,5
1,7
1,14
1,25
1,35
383,9
65,7
530,25
532,37
451,38
477,26
477,26
477,26
533,22
526,11
526,11
526,11
537,30
538,6
1,6
1,11
1,15
1,18
1,22
350,1
526,1
526,25
1,6
1,7
1,15
1,22
1,30
77,9
541,27
1,5
1,7
1,14
1,18
1,22
538,6
543,1
543,1
539,6
544,38
545,28
428,9
556,6
581,26
587,18
598,30
599,25
560,6
556,6
600,25
601,6
602,25
603,6
571,6
606,6
605,22
607,53
609,17
59,6
609,14
611,12
158,12
613,12
614,22
443,18
485,52
615,53
616,6
617,27
465,6
618,29
434,38
623,14
620,67
620,6
622,9
624,9
625,53
626,22
629,32
633,30
631,9
632,40
635,9
638,40
637,34
639,25
640,35
265,18
265,9
642,12
647,9
375,18
181,12
641,17
372,3
649,27
652,8
390,17
651,12
655,6
654,3
2,1
653,11
651,12
657,3
286,12
660,5
656,8
661,14
663,17
662,52
664,12
576,6
665,25
587,18
666,22
616,6
0,9
667,25
668,22
670,31
672,22
676,6
677,12
677,12
682,6
683,6
690,6
694,6
694,6
697,6
705,6
705,7
714,6
717,6
722,9
573,38
671,9
751,38
701,6
753,12
754,22
709,6
563,6
760,16
762,143
675,18
763,53
765,38
767,38
766,29
697,6
768,37
770,12
769,27
714,6
773,40
771,339
772,23
717,6
262,12
144,12
782,18
783,3
787,3
786,3
791,3
211,339
789,3
792,38
795,46
792,38
796,181
796,235
798,3
802,35
803,26
804,25
665,28
806,53
807,25
