pro_id,qty
1,514
2,4
3,138
4,8
5,98
6,6
7,0
8,185
9,463
10,15
11,134
12,92
13,175
14,5
15,11
16,0
17,0
18,638
19,14
20,9
21,32
22,113
23,1
24,31
25,1
26,163
27,35
28,-1
29,0
30,35
31,0
32,2
33,7
34,76
35,49
36,75
37,0
38,11
39,30
40,36
41,0
42,3
43,0
44,0
45,91
46,206
47,0
48,7
49,76
51,0
52,36
53,1065
54,45
55,0
56,7
57,2
58,4
59,2
60,0
61,0
62,3
63,0
64,0
65,5
66,0
67,98
68,2
69,0
70,0
71,15
72,8
73,11
74,1
75,1
76,17
77,1
78,0
79,19
80,2
81,0
82,0
83,0
85,0
86,0
87,5
88,49
89,28
90,55
91,16
92,381
93,61
94,42
95,75
96,19
97,62
98,120
99,4
101,26
102,0
103,2
104,10
105,3
106,60
108,0
109,55
110,57
111,0
112,56
113,0
114,0
115,49
116,41
117,20
118,83
119,0
120,0
121,26
122,2
123,18
124,2
125,1
126,10
127,19
128,11
129,2
130,0
131,22
132,22
133,4
134,7
135,0
137,0
138,22
139,10
140,9
141,3
142,21
143,0
144,15
145,2
146,107
147,9
148,9
149,21
150,3
151,13
152,22
153,32
154,3
156,0
157,12
158,0
159,0
160,0
161,2
162,197
163,0
164,0
165,41
166,7
167,4
168,0
169,3
170,1
171,4
172,0
173,24
174,111
175,-1
177,0
178,5
179,113
180,46
181,44
184,0
185,45
186,2
187,3
188,0
189,3
190,2
191,0
192,18
193,17
194,15
195,11
196,5
197,6
198,27
199,35
200,0
201,81
202,0
203,0
204,18
205,14
206,19
207,31
208,11
209,0
210,0
211,0
212,15
213,0
214,3
215,0
216,52
217,-1
218,20
219,18
220,88
221,5
222,5
223,10
224,29
225,25
226,0
227,38
229,15
230,14
231,28
232,15
233,34
234,15
235,27
236,0
237,0
238,330
239,15
240,2
241,0
242,55
243,12
245,198
246,10
248,8
249,17
250,5
251,32
252,9
253,94
254,5
255,0
256,38
257,1
258,6
259,21
260,94
261,74
262,18
263,24
264,134
265,0
266,32
267,0
268,23
269,0
270,19
271,1
272,1
274,0
275,1
276,2
277,4
280,1
282,2
283,8
284,122
285,0
286,10
287,7
288,5
290,9
291,6
292,1
295,68
297,13
298,5
299,0
301,0
302,0
303,3
304,9
305,14
306,4
308,2
309,20
310,1
311,39
312,35
313,8
316,0
317,1
318,17
319,6
320,7
321,0
322,6
323,3
324,0
325,0
326,0
327,5
328,3
329,0
330,0
331,0
336,21
337,45
339,7
340,64
341,4
342,2
343,26
344,0
345,9
346,2
347,0
348,8
350,0
351,1
352,0
353,3
354,0
358,5
359,10
360,101
361,55
362,48
363,0
364,27
365,336
366,11
367,25
368,36
369,32
370,49
371,88
372,0
373,0
374,34
375,2
376,0
377,0
378,16
380,0
381,0
382,17
383,2
384,0
385,164
386,0
387,32
388,0
389,4
390,11
391,18
392,3
393,3
394,366
395,0
396,0
397,0
398,0
399,0
400,34
401,51
402,9
403,3
404,0
405,269
406,4
407,0
408,0
409,0
410,0
411,20
412,0
413,11
414,0
415,81
416,0
417,30
418,3
419,35
420,3
421,0
422,30
423,77
424,174
425,31
426,4
427,70
428,2
429,4
430,5
431,24
432,8
433,0
434,4
435,19
436,0
437,0
438,0
439,0
440,0
441,2
442,0
443,6
444,217
445,22
446,0
447,0
448,0
449,0
450,27
451,1
452,145
453,0
454,3
455,67
456,0
457,0
458,0
459,103
460,0
461,0
462,2
463,1
464,1
465,26
466,120
467,32
468,0
469,0
470,19
471,15
472,0
473,0
475,0
476,0
477,8
478,4
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,4
488,20
489,0
490,2
491,124
492,224
493,0
494,14
495,0
496,313
497,59
498,52
499,104
500,0
501,6
502,0
503,0
504,0
505,0
506,1
507,0
508,2
509,14
510,6
511,5
512,0
513,0
514,0
515,0
516,6
517,2
518,0
519,0
520,0
521,6
522,9
523,1
524,0
525,0
526,0
527,0
528,1
529,0
530,26
531,1
532,0
533,0
534,3
535,0
536,0
537,4
539,40
540,23
541,506
542,44
543,51
544,12
545,41
