"user_id","pro_id"
"148","2"
"4","1"
"4","2"
"5","2"
"66","6"
"67","4"
"67","1"
"66","7"
"74","6"
"77","6"
"83","6"
"83","9"
"83","10"
"83","11"
"93","7"
"93","16"
"93","33"
"77","37"
"77","5"
"343","27"
"381","12"
"211","12"
"418","35"
"423","12"
"461","38"
"298","11"
"460","9"
"494","38"
"522","9"
"644","67"
"262","1"
"705","261"
"723","6"
"792","12"
"780","109"
"903","261"
"916","38"
"917","52"
"917","104"
"917","345"
"917","242"
"917","220"
"953","223"
"953","37"
"953","215"
"953","12"
"971","221"
"1041","5"
"1041","53"
"1041","223"
"1041","351"
"1041","16"
"1041","191"
"1041","190"
"1060","322"
"1085","9"
"1085","18"
"1096","18"
"1100","12"
"1100","38"
"1100","18"
"1100","124"
"1100","123"
"1100","209"
"1100","205"
"1100","240"
"1100","208"
"1100","189"
"1100","292"
"1100","132"
"1100","33"
"1100","141"
"1100","84"
"1100","15"
"1100","194"
"1100","204"
"1100","354"
"1100","195"
"1100","191"
"1100","146"
"1100","224"
"1100","211"
"1100","226"
"1100","86"
"1100","348"
"1100","247"
"1103","38"
"1103","26"
"289","12"
"1116","12"
"1128","9"
"1128","2"
"1128","1"
"1141","329"
"1167","25"
"1211","25"
"1254","45"
"1254","37"
"1348","38"
"1349","38"
"1362","38"
"1251","18"
"1447","38"
"1447","182"
"1447","11"
"930","26"
"1536","24"
"1617","12"
"1622","20"
"1622","156"
"1622","161"
"1664","222"
"1669","20"
"1677","5"
"1691","68"
"1693","38"
"1709","32"
"1727","32"
"1727","297"
"1815","41"
"1859","27"
"1857","191"
"1896","12"
"1896","67"
"1712","18"
"1979","5"
"2044","9"
"2044","25"
"2044","18"
"2056","220"
"2056","169"
"1765","9"
"2131","222"
"2139","18"
"2155","127"
"2181","18"
"2181","35"
"2188","199"
"2228","20"
"2249","14"
"2264","18"
"2348","51"
"2348","6"
"2479","38"
"2549","18"
"2557","173"
"2557","38"
"2557","18"
"2413","18"
"54277","14"
"54277","15"
"54277","11"
"54277","1"
"54277","3"
"54277","5"
"54277","2"
"54277","9"
"54277","10"
"54277","6"
"54277","21"
"206017","98"
"2705","9"
"2718","9"
"2717","5"
"2717","38"
"155230","16"
"155230","34"
"216636","5"
"216636","9"
"216636","22"
"216636","37"
"216636","39"
"216636","45"
"2781","46"
"2781","172"
"2781","179"
"167885","1"
"2794","18"
"2802","200"
"54277","25"
"54277","26"
"54277","28"
"54277","283"
"54277","36"
"54277","20"
"54277","27"
"54277","37"
"54277","174"
"54277","183"
"54277","179"
"54277","172"
"54277","168"
"54277","163"
"54277","158"
"54277","156"
"54277","45"
"54277","46"
"54277","22"
"54277","34"
"54277","54"
"54277","30"
"54277","53"
"2837","42"
"2837","3"
"2837","12"
"2837","18"
"2837","53"
"54277","31"
"54277","24"
"54277","33"
"54277","32"
"54277","16"
"54277","192"
"54277","191"
"54277","193"
"54277","194"
"54277","190"
"54277","189"
"54277","205"
"54277","204"
"54277","203"
"54277","200"
"54277","215"
"54277","217"
"54277","216"
"54277","214"
"54277","212"
"54277","213"
"54277","226"
"54277","224"
"54277","291"
"54277","223"
"54277","218"
"54277","17"
"54277","38"
"54277","40"
"54277","39"
"54277","86"
"54277","88"
"54277","87"
"54277","92"
"54277","91"
"54277","93"
"54277","94"
"54277","90"
"54277","89"
"54277","104"
"54277","101"
"54277","98"
"54277","102"
"54277","95"
"54277","97"
"54277","41"
"54277","48"
"54277","49"
"424","9"
"2901","38"
"2919","25"
"2919","18"
"149668","1"
"2926","196"
"2926","203"
"2873","25"
"174495","88"
"214368","18"
"2975","49"
"2974","17"
"2974","68"
"2974","70"
"2974","73"
"2974","74"
"71","34"
"71","193"
"71","206"
"2991","1"
"2991","9"
"3029","12"
"3064","16"
"3064","14"
"3064","31"
"3064","33"
"3064","39"
"3064","46"
"3064","49"
"3064","151"
"3064","326"
"3064","145"
"3064","134"
"3064","142"
"3064","132"
"207587","23"
"43632","3"
"172038","92"
"172038","93"
"204638","28"
"204638","18"
"204638","25"
"204638","36"
"204638","41"
"204638","58"
"204638","133"
"204638","137"
"204638","141"
"204638","290"
"204638","309"
"204638","53"
"204638","284"
"204638","130"
"204638","147"
"204638","15"
"204638","26"
"204638","40"
"204638","95"
"3143","9"
"166745","5"
"2790","93"
"3175","95"
"186880","33"
"148229","52"
"148229","359"
"185567","11"
"185567","18"
"185567","5"
"185567","284"
"155910","11"
"155910","18"
"155910","25"
"155910","134"
"155910","284"
"3302","5"
"3310","125"
"172937","98"
"3340","14"
"3340","16"
"3340","216"
"3340","223"
"3340","224"
"3352","53"
"3340","222"
"3340","214"
"3340","212"
"3340","209"
"3340","207"
"3340","204"
"3340","199"
"3340","196"
"3340","194"
"3340","193"
"3340","192"
"3340","191"
"3340","190"
"3340","189"
"3340","33"
"3340","32"
"3340","31"
"3357","144"
"216370","5"
"216370","14"
"216370","18"
"216370","326"
"3386","530"
"3386","284"
"3386","100"
"3386","114"
"3386","382"
"3386","396"
"3386","182"
"3386","296"
"3386","8"
"3386","88"
"3386","133"
"3386","519"
"3386","278"
"3386","308"
"3386","307"
"3386","340"
"3386","362"
"3386","322"
"3386","318"
"3386","18"
"3386","25"
"3386","3"
"3386","6"
"3386","16"
"3386","22"
"3386","52"
"3386","97"
"183454","10"
"1764","11"
"135626","27"
"198890","135"
"198890","129"
"3496","348"
"3386","5"
"3386","350"
"577","9"
"3511","34"
"199467","26"
"3543","290"
"3543","322"
"3543","318"
"3543","312"
"3547","146"
"3246","5"
"3558","25"
"3558","3"
"3558","46"
"3558","26"
"3558","350"
"3246","123"
"208955","9"
"208955","18"
"208955","25"
"208955","48"
"208955","52"
"3587","276"
"3603","18"
"3603","36"
"3603","289"
"176260","57"
"3612","32"
"194928","9"
"151767","18"
"151767","25"
"151767","40"
"151767","38"
"3647","92"
"3647","6"
"3647","89"
"3647","91"
"3650","109"
"3650","1"
"3650","12"
"3650","141"
"3679","377"
"3704","189"
"215114","23"
"3761","5"
"3767","52"
"93","20"
"148229","92"
"148229","95"
"3786","9"
"3786","18"
"3786","26"
"3786","159"
"129008","12"
"3802","3"
"3802","27"
"3802","15"
"3805","6"
"3805","9"
"3805","86"
"138941","30"
"3873","212"
"3873","261"
"3873","25"
"3916","37"
"189612","12"
"189612","25"
"189612","3"
"189612","27"
"1398","20"
"3956","6"
"3963","224"
"3963","223"
"177802","21"
"175778","172"
"3925","93"
"216712","21"
"216712","23"
"3984","38"
"3873","450"
"209785","9"
"4010","52"
"215862","6"
"2776","324"
"2776","253"
"2776","311"
"2776","204"
"2776","217"
"2776","304"
"2776","11"
"2776","150"
"2776","156"
"2776","267"
"2776","25"
"2776","208"
"2776","132"
"2776","16"
"4121","337"
"262","3"
"262","5"
"184074","1"
"4192","148"
"4216","4"
"169079","97"
"4242","25"
"169079","25"
"4305","7"
"4308","5"
"54277","12"
"54277","57"
"54277","56"
"54277","58"
"54277","63"
"54277","64"
"54277","62"
"54277","65"
"54277","61"
"54277","59"
"54277","60"
"54277","77"
"54277","76"
"54277","74"
"54277","79"
"54277","80"
"54277","72"
"54277","71"
"54277","70"
"54277","68"
"54277","69"
"54277","66"
"54277","274"
"54277","275"
"211576","18"
"2776","24"
"2776","192"
"2776","194"
"2776","195"
"2776","196"
"2776","198"
"2776","199"
"4331","12"
"512","6"
"512","3"
"512","7"
"512","12"
"4222","1"
"4222","9"
"4329","10"
"4329","2"
"4355","6"
"518","2"
"512","259"
"4380","6"
"3857","9"
"3857","23"
"3857","26"
"3857","27"
"3857","34"
"4384","125"
"4397","6"
"4469","11"
"4474","11"
"4474","10"
"4474","9"
"4474","18"
"4474","20"
"4474","25"
"4474","36"
"4474","53"
"216370","88"
"4474","156"
"4474","283"
"4474","290"
"4474","288"
"4474","300"
"4474","312"
"4474","318"
"4476","23"
"196363","9"
"196363","18"
"196363","25"
"196363","3"
"216370","163"
"4502","131"
"4510","121"
"215686","18"
"4510","112"
"4531","25"
"4552","6"
"4554","226"
"4559","25"
"4568","296"
"4568","319"
"4570","93"
"184489","21"
"184489","22"
"184489","35"
"184489","53"
"184489","58"
"184489","63"
"184489","71"
"184489","105"
"4566","25"
"207929","5"
"164839","27"
"2646","7"
"2646","271"
"2646","124"
"184489","86"
"184489","87"
"184489","348"
"3673","16"
"214112","17"
"4673","12"
"3673","145"
"3673","190"
"3673","192"
"1593","18"
"4580","16"
"4707","24"
"4707","195"
"172277","5"
"172277","39"
"172277","65"
"172277","135"
"4747","6"
"4338","41"
"3857","106"
"3857","92"
"3857","348"
"3857","104"
"3857","40"
"3857","341"
"4822","25"
"4822","249"
"4822","268"
"4822","1"
"4362","41"
"4362","42"
"198449","94"
